"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.941229600E-2,-5.392742157E-2,-4.793548491E-3,7.722939365E-3
8.190198400E-2,-5.605788901E-2,-5.858781748E-3,1.091863867E-2
8.439161900E-2,-7.416684926E-2,-7.989247330E-3,3.462007269E-3
8.683917100E-2,-9.121058136E-2,-1.011971384E-2,-2.929390874E-3
8.932880700E-2,-9.760197252E-2,-1.544587873E-2,-7.989247679E-4
9.181844200E-2,-1.029281393E-1,-1.651111245E-2,-3.994623665E-3
9.430813000E-2,-1.114500016E-1,-1.544587873E-2,-8.255556226E-3
9.679776500E-2,-1.199718714E-1,-1.757634431E-2,-9.320789017E-3
9.928740100E-2,-1.252980381E-1,-2.170412242E-2,-1.038602181E-2
1.017770880E-1,-1.295589656E-1,-2.383458801E-2,-1.038602181E-2
1.042667240E-1,-1.380808353E-1,-2.276935615E-2,-7.190322969E-3
1.067563590E-1,-1.380808353E-1,-1.850842312E-2,2.663082560E-4
1.092460460E-1,-1.391460598E-1,-1.544587873E-2,2.663082560E-4
1.117356820E-1,-1.380808353E-1,-3.728315700E-3,2.396774245E-3
1.142253690E-1,-1.370155960E-1,-1.597849536E-3,5.592473317E-3
1.166350050E-1,-1.316894293E-1,5.326165119E-4,7.722939365E-3
1.191246400E-1,-1.316894293E-1,5.326165119E-4,1.198387146E-2
1.216142760E-1,-1.274285018E-1,-3.728315700E-3,1.944050193E-2
1.241039630E-1,-1.199718714E-1,-9.054481052E-3,2.796236612E-2
1.265935990E-1,-1.103847697E-1,-1.651111245E-2,3.222329915E-2
1.290832340E-1,-1.039933711E-1,-2.489982173E-2,3.222329915E-2
1.315729210E-1,-9.121058136E-2,-3.129122034E-2,3.648423031E-2
1.340625570E-1,-8.375394344E-2,-3.235645220E-2,3.648423031E-2
1.365521920E-1,-7.736254483E-2,-3.448691964E-2,3.754946589E-2
1.390418800E-1,-6.990591437E-2,-3.448691964E-2,3.754946589E-2
1.415315150E-1,-6.671021879E-2,-3.342168778E-2,3.648423031E-2
1.440212030E-1,-6.244928762E-2,-2.809552103E-2,3.861469775E-2
1.464707860E-1,-6.138405204E-2,-2.170412242E-2,4.074516147E-2
1.489604210E-1,-5.818835273E-2,-1.757634431E-2,3.861469775E-2
1.514500570E-1,-5.499265343E-2,-1.438064594E-2,3.967992961E-2
1.539397440E-1,-5.712312087E-2,-2.063889056E-2,4.181039706E-2
1.564293800E-1,-6.031882018E-2,-3.022598661E-2,4.500609636E-2
1.589190150E-1,-5.925358832E-2,-3.768261895E-2,4.181039706E-2
1.614087030E-1,-5.605788901E-2,-4.726971686E-2,4.074516147E-2
1.638983380E-1,-5.392742157E-2,-5.366111174E-2,4.287562892E-2
1.663879740E-1,-4.966649041E-2,-5.685681105E-2,4.287562892E-2
1.688776610E-1,-4.753602296E-2,-6.005251035E-2,4.181039706E-2
1.713672960E-1,-4.434032366E-2,-5.792204663E-2,3.754946589E-2
1.738569840E-1,-4.220985994E-2,-6.005251035E-2,3.648423031E-2
1.762643800E-1,-4.220985994E-2,-5.898727849E-2,3.328853101E-2
1.787540150E-1,-3.901416063E-2,-5.579157919E-2,2.902759984E-2
1.812436510E-1,-3.794892505E-2,-5.153064802E-2,2.263620123E-2
1.837333380E-1,-3.794892505E-2,-4.620448127E-2,1.304910425E-2
1.862229740E-1,-3.794892505E-2,-3.874785081E-2,6.657706574E-3
1.887126090E-1,-4.007939249E-2,-3.022598661E-2,1.331541222E-3
1.912022960E-1,-4.007939249E-2,-2.489982173E-2,-5.059856921E-3
1.936919320E-1,-4.647079110E-2,-1.850842312E-2,-1.571218669E-2
1.961815670E-1,-4.327509180E-2,-1.011971384E-2,-2.423405088E-2
1.986712550E-1,-4.860125855E-2,-4.793548491E-3,-2.742975019E-2
2.011608900E-1,-5.392742157E-2,1.597849536E-3,-3.701684624E-2
2.036505780E-1,-5.286218971E-2,3.728315700E-3,-4.127778113E-2
2.060778170E-1,-5.925358832E-2,3.728315700E-3,-4.234301299E-2
2.085674530E-1,-6.457975507E-2,2.663082443E-3,-4.340824485E-2
2.110570880E-1,-6.244928762E-2,-1.597849536E-3,-3.914731368E-2
2.135467760E-1,-6.351451576E-2,-1.011971384E-2,-3.488638252E-2
2.160364110E-1,-6.884068251E-2,-1.957365684E-2,-2.742975019E-2
2.185260460E-1,-6.990591437E-2,-2.703028731E-2,-2.103835158E-2
2.210157340E-1,-6.457975507E-2,-3.342168778E-2,-6.125089712E-3
2.235053690E-1,-6.031882018E-2,-3.874785081E-2,-1.864157850E-3
2.259950050E-1,-5.818835273E-2,-3.981308267E-2,8.788172156E-3
2.284846920E-1,-5.179695413E-2,-4.407401755E-2,2.050573565E-2
2.309743280E-1,-4.753602296E-2,-4.407401755E-2,2.689713426E-2
2.334640150E-1,-4.220985994E-2,-3.555215150E-2,3.648423031E-2
2.358970360E-1,-3.475322574E-2,-3.129122034E-2,5.139749497E-2
2.383866710E-1,-2.516612969E-2,-2.809552103E-2,5.991935730E-2
2.408763070E-1,-1.877473295E-2,-2.170412242E-2,6.311506033E-2
2.433659940E-1,-1.238333434E-2,-1.544587873E-2,6.737598777E-2
2.458556300E-1,-9.187635034E-3,-7.989247330E-3,7.163692266E-2
